delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
214247.000,150576.000,119576.000,3881.000,26314.000,36249.000,7333.000,2712.000,47.000,26.000,-21.000,0.000
216536.000,317380.000,95988.000,80041.000,90055.000,19294.000,12126.000,4934.000,43.000,48.000,-213.000,0.000
367822.000,19281.000,1675.000,1054.000,4271.000,4152.000,483.000,372.000,35.000,61.000,58.000,0.000
155676.000,40246.000,40238.000,10226.000,11185.000,9393.000,668.000,620.000,44.000,43.000,168.000,0.000
1162892.000,194528.000,17333.000,27101.000,20474.000,77274.000,11364.000,3130.000,57.000,67.000,90.000,0.000
733671.000,404705.000,61712.000,24976.000,26754.000,26245.000,11286.000,2261.000,69.000,50.000,151.000,0.000
247689.000,363820.000,60544.000,98333.000,54335.000,62768.000,15202.000,4719.000,74.000,41.000,89.000,0.000
472779.000,376854.000,129184.000,21093.000,82405.000,11318.000,10272.000,4445.000,67.000,57.000,34.000,0.000
912014.000,455555.000,2603.000,50790.000,51744.000,23275.000,4671.000,2650.000,48.000,44.000,-466.000,0.000
34270.000,48525.000,7045.000,1141.000,2205.000,1097.000,991.000,512.000,24.000,40.000,24.000,0.000
281701.000,21429.000,14610.000,47759.000,34379.000,16192.000,21623.000,20185.000,14.000,37.000,83.000,0.000
859437.000,233395.000,172178.000,68006.000,92572.000,30359.000,10119.000,8837.000,20.000,51.000,12.000,0.000
508573.000,375562.000,43502.000,108758.000,103762.000,56570.000,5555.000,4877.000,30.000,61.000,106.000,0.000
360165.000,176377.000,7883.000,14697.000,4901.000,22727.000,4716.000,4377.000,41.000,75.000,51.000,0.000
436569.000,162062.000,100901.000,18638.000,29698.000,28077.000,6112.000,2740.000,61.000,69.000,72.000,0.000
1346821.000,429237.000,130723.000,40084.000,67536.000,29045.000,26986.000,4662.000,53.000,63.000,-251.000,0.000
304399.000,34701.000,7401.000,6662.000,8401.000,2368.000,665.000,458.000,50.000,51.000,1.000,0.000
1129558.000,158691.000,86398.000,150167.000,74977.000,48832.000,24069.000,8053.000,43.000,53.000,116.000,0.000
653560.000,384845.000,86240.000,28967.000,19343.000,49782.000,18384.000,8236.000,43.000,80.000,-115.000,0.000
1251523.000,53802.000,10599.000,19339.000,23409.000,18989.000,5693.000,690.000,43.000,69.000,217.000,0.000
58563.000,19577.000,7356.000,10105.000,3592.000,7109.000,1057.000,308.000,61.000,70.000,104.000,0.000
155030.000,96842.000,9627.000,13249.000,40496.000,33307.000,3111.000,2198.000,75.000,80.000,133.000,0.000
716726.000,157882.000,46396.000,34476.000,86934.000,69814.000,18935.000,4767.000,87.000,56.000,-38.000,0.000
1671332.000,46385.000,24366.000,36579.000,12564.000,22101.000,3636.000,1315.000,97.000,54.000,82.000,0.000
346062.000,196531.000,259415.000,129600.000,97253.000,77846.000,13958.000,7854.000,96.000,66.000,-593.000,0.000
572157.000,34630.000,6125.000,3242.000,11471.000,6264.000,2056.000,413.000,93.000,75.000,5.000,0.000
1469514.000,455214.000,91862.000,130780.000,50418.000,79183.000,21413.000,5608.000,87.000,78.000,258.000,0.000
1367646.000,34194.000,12812.000,15056.000,4162.000,10940.000,6836.000,609.000,75.000,84.000,177.000,0.000
